"Смартфон XIAOMI Redmi 12C 3/32GB Dual Sim Graphite Gray",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_12c_332gb_graphite_gray.html," 3 999 ₴ "
"Смартфон XIAOMI Redmi Note 12 8/256GB Sunrise Gold",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12_8256gb_sunrise_gold.html," 8 499 ₴ "
"Смартфон XIAOMI Redmi Note 12 Pro 5G 8/256GB Dual Sim Midnight Black",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12_pro_5g_8256gb_midnight_black.html," 12 999 ₴ "
"Смартфон XIAOMI Redmi Note 12 Pro 5G 6/128GB Sky Blue",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12_pro_5g_6128gb_sky_blue.html," 10 999 ₴ "
"Смартфон XIAOMI Redmi A2 3/64 Gb Dual Sim Light Blue",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_a2_364gb_light_blue.html," 3 399 ₴ "
"Смартфон XIAOMI Redmi 12 4/128GB Midnight Black",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_12_4128gb_midnight_black.html," 5 999 ₴ "
"Смартфон XIAOMI Redmi Note 12 5G 4/128GB Ice Blue",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12_5g_4128gb_ice_blue.html," 7 999 ₴ "
"Смартфон XIAOMI Redmi Note 12 Pro 5G 8/256GB Dual Sim Sky Blue",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12_pro_5g_8256gb_sky_blue.html," 12 999 ₴ "
"Смартфон XIAOMI Redmi Note 12 4/64GB Dual Sim Ice Blue (984220)",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12_464gb_ice_blue.html," 6 499 ₴ "
"Смартфон XIAOMI Redmi A2 2/32GB Dual Sim Light Blue",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_a2_232gb_light_blue.html," 2 999 ₴ "
